Wavelength,O5V,B5V,A5V,F5V,G5V,K5V,M5V
6730,152418.742,5120.936,594.807,181.092,47.368,8.859,0.011
6750,151562.857,5100.407,592.481,180.319,47.118,8.706,0.011
6770,150823.55,5080.126,594.394,181.064,47.369,8.843,0.011
6790,150037.592,5054.122,592.764,180.816,47.302,8.751,0.011
6810,149218.325,5035.022,591.33,180.609,47.278,8.89,0.012
6830,148409.058,5009.018,589.178,181.189,47.683,9.091,0.013
6850,147596.434,4991.785,587.418,179.477,46.874,8.946,0.013
6870,146780.529,4972.935,587.831,181.078,47.583,9.092,0.013
6890,144872.272,4951.659,586.723,181.561,47.87,9.242,0.014
6910,145218.611,4931.254,585.071,181.12,47.694,9.319,0.016
6930,144459.298,4902.45,583.681,181.41,47.808,9.326,0.016
6950,143686.667,4890.629,582.572,181.492,47.819,9.401,0.017
6970,142920.695,4872.339,580.812,181.492,47.974,9.613,0.018
6990,142161.379,4853.178,580.465,181.824,48.052,9.499,0.019
7010,141408.721,4829.227,575.01,178.773,46.977,9.557,0.02
7030,140486.234,4810.999,575.771,180.816,47.813,9.734,0.021
7050,139820.174,4780.764,575.662,181.575,48.161,9.873,0.022
7070,138544.647,4739.269,574.815,181.244,47.936,9.668,0.021
7090,138454.734,4755.631,573.554,181.037,47.908,9.394,0.015
7110,137672.098,4729.937,561.776,180.347,48.248,9.126,0.012
7130,136949.431,4712.829,567.448,180.057,47.765,8.92,0.012
7150,136300.007,4694.228,567.622,180.057,47.7,8.771,0.011
7170,134638.182,4677.244,565.775,179.85,47.886,9.195,0.012
7190,134621.527,4660.011,563.906,178,46.886,9.066,0.012
7210,134191.93,4641.472,563.971,180.015,47.896,9.17,0.012
7230,133499.206,4606.385,562.515,180.139,48.138,9.649,0.014
7250,132816.49,4600.475,560.538,180.995,48.493,9.695,0.015
